Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130212_063000,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_064500,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_070000,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_071500,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_073000,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_074500,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_080000,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20140206_054500,2/6/2014,"Harpia, 4, 200",Howler,5:53:12,0:01:33,Complete,4,1,Drizzle,,
Silvy van Kuijk,HARPIA_20140206_054500,2/6/2014,"Harpia, 4, 200",Howler,5:59:45,0:00:15,End,2,1,Drizzle,,
Silvy van Kuijk,HARPIA_20140206_060000,2/6/2014,"Harpia, 4, 200",Howler,6:00:00,0:10:00,"Start, End",2,1,Drizzle,,
Silvy van Kuijk,HARPIA_20140206_061500,2/6/2014,"Harpia, 4, 200",Howler,6:15:00,0:02:20,Start,3,1,Drizzle,,Some woolly chirps at start
Silvy van Kuijk,HARPIA_20140206_063000,2/6/2014,"Harpia, 4, 200",Howler,6:31:34,0:08:16,Complete,4,1,Dry,,
Silvy van Kuijk,HARPIA_20140206_064500,2/6/2014,"Harpia, 4, 200",Howler,6:45:00,0:10:00,"Start, End",4,1,Dry,,
Silvy van Kuijk,HARPIA_20140206_070000,2/6/2014,"Harpia, 4, 200",None,,,,,1,Dry,,Quiet woolly chirps close to recorder at 03:02. 
Silvy van Kuijk,HARPIA_20140206_071500,2/6/2014,"Harpia, 4, 200",Howler,7:22:52,0:02:08,End,3,1,Dry,,"Still dry, but I hear rain coming in quickly! "
Silvy van Kuijk,HARPIA_20140206_073000,2/6/2014,"Harpia, 4, 200",Howler,7:30:00,0:02:18,Start,3,1,Rain,,
Silvy van Kuijk,HARPIA_20140206_073000,2/6/2014,"Harpia, 4, 200",Howler,7:35:03,0:01:36,Complete,2,1,Rain,,
Silvy van Kuijk,HARPIA_20140206_074500,2/6/2014,"Harpia, 4, 200",None,,,,,1,Drizzle,,Beautiful example of thunder in spectrogram at 03:35
Silvy van Kuijk,HARPIA_20140206_080000,2/6/2014,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20140207_054500,2/7/2014,"Harpia, 4, 200",Howler,5:49:15,0:05:45,End,3,1,Dry,,
Silvy van Kuijk,HARPIA_20140207_060000,2/7/2014,"Harpia, 4, 200",Howler,6:00:00,0:10:00,"Start, End",3,1,Dry,,
Silvy van Kuijk,HARPIA_20140207_061500,2/7/2014,"Harpia, 4, 200",Howler,6:15:00,0:03:49,"Start, End",3,1,Dry,,Woollie chirps!
Silvy van Kuijk,HARPIA_20140207_063000,2/7/2014,"Harpia, 4, 200",None,,,,,1,Dry,,"Woollies making soft trill calls nearby. Lots of vocal activity, cool spectrogram!"
Silvy van Kuijk,HARPIA_20140207_064500,2/7/2014,"Harpia, 4, 200",None,,,,,1,Dry,,Woollies nearby
Silvy van Kuijk,HARPIA_20140207_070000,2/7/2014,"Harpia, 4, 200",None,,,,,1,Dry,,Tamarins? Not sure. Also still occasional woollies.
Silvy van Kuijk,HARPIA_20140207_071500,2/7/2014,"Harpia, 4, 200",Howler,7:15:48,0:09:12,End,3,1,Dry,,"Woollies still around. Howlers are pretty close, I'd say almost distance score 2. Hear boat pass in last minute of recording."
Silvy van Kuijk,HARPIA_20140207_073000,2/7/2014,"Harpia, 4, 200",Howler,7:30:00,0:04:18,Start,3,1,Dry,,"Woollies still around, boat in second half of recording, off and on. "
Silvy van Kuijk,HARPIA_20140207_074500,2/7/2014,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20140207_080000,2/7/2014,"Harpia, 4, 200",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20140208_054500,2/8/2014,"Harpia, 4, 200",None,,,,,1,Drizzle,,
